Work,Name,Date,Category,Region,Price (USD)
0,"Umbrella Stand ""Tamburo""  (1950s)",20th,Design/Decorative Art,Europe,3861
1,Vintage Silver Centerpiece (1970s),20th,Design/Decorative Art,Europe,1237.5
2,Hungarian Equestrian Horses (ca. 1940),NA,Painting,North America,950
3,Elegant Murano Vase (1950s),20th,Design/Decorative Art,Europe,673.2
4,Vintage Box (19th century),19th,Design/Decorative Art,Europe,881.1
5,Wave Glass Vase (1970s),20th,Design/Decorative Art,Europe,475.2
6,Murano Glass Dog (1980s),NA,Design/Decorative Art,Europe,277.2
7,Pop Glass Vase (1970s),20th,Design/Decorative Art,Europe,396
8,Murano Glass Woman (1980s),NA,Design/Decorative Art,Europe,396
9,Red Crystal Vase (1970s),20th,Design/Decorative Art,Europe,574.2
10,Murano Glass Horse (1980s),NA,Design/Decorative Art,Europe,297
11,Martyrs (1965),NA,Sculpture,Europe,554.4
12,Vintage Liquor Glass Bottle (1970),20th,Design/Decorative Art,Europe,198
13,Chiaravalloti Floor Lamp (1950s),20th,Design/Decorative Art,Europe,3465
14,Glass cube (1970s),20th,Design/Decorative Art,Europe,247.5
15,Hexagonal Vase (1970s),20th,Design/Decorative Art,Europe,277.2
16,Multicolored Glass Ashtray (1960s),20th,Design/Decorative Art,Europe,297
17,Glass Coffee Set (1970s),20th,Design/Decorative Art,Europe,297
18,Endor's fortune (19th Century),19th,Painting,Europe,18315
19,Blue Candle holder (1970s),20th,Design/Decorative Art,Europe,277.2
20,Flowers Glass Vase (1970s),20th,Design/Decorative Art,Europe,396
21,Polyhedral Glass Vase (1970s),20th,Design/Decorative Art,Europe,336.6
22,Flower centrepiece  (20th century),20th,Design/Decorative Art,Europe,475.2
23,Blown Glass Vase (1970s),20th,Design/Decorative Art,Europe,396
24,Little Glass Vase (1970s),20th,Design/Decorative Art,Europe,297
25,Vintage Cobalt Blue Ashtray (1970s),20th,Design/Decorative Art,Europe,257.4
26,Hexagonal Glass Vase (1970s),20th,Design/Decorative Art,Europe,475.2
27,Landscape (1928),20th,"Drawing, Collage or other Work on Paper",Europe,1485
28,Landscape (1928),20th,"Drawing, Collage or other Work on Paper",Europe,1485
29,Blown Crystal Transparent Vase (1970s),20th,Design/Decorative Art,Europe,594
30,Vintage Liquor Glass Bottle (1970),20th,Design/Decorative Art,Europe,198
31,Bamboo lamp  (1970s),20th,Design/Decorative Art,Europe,1584
32,Galaxy Floor Lamp (1960s),20th,Design/Decorative Art,Europe,5009.4
33,Vintage Organ Lamp (1970),20th,Design/Decorative Art,Europe,5940
34,Pair of Floor Lamp (1970s),20th,Design/Decorative Art,Europe,5742
35,Flower  (19th Century),19th,Painting,Europe,4851
36,Five Lights Floor Lamp (1960s),20th,Design/Decorative Art,Europe,3465
37,Vintage Chandelier (1970s),20th,Design/Decorative Art,Europe,742.5
38,Pair of Bas-reliefs in Turkish Marble (18th century),18th,Design/Decorative Art,Europe,11880
39,Judith Holding Holofernes' Head (17th Century),17th,Painting,Europe,9702
40,"After Paolo Uccello's ""Battle of San Romano"" Painted in 1438 (Not dated)",NA,Painting,North America,3500
41,Alberello Stilnovo Floor Lamp (1960s),20th,Design/Decorative Art,Europe,4851
42,Glass Vintage Ashtray (1970s),20th,Design/Decorative Art,Europe,198
43,Vintage Bambu Floor Lamp (1970s),20th,Design/Decorative Art,Europe,2970
44,Glass goblets (1970s),20th,Design/Decorative Art,Europe,297
45,Colored bubble lamp (1960s),20th,Design/Decorative Art,Europe,3762
46,Pair of Copper Pierced Plates (1930s),20th,Design/Decorative Art,Europe,1584
47,Stormy Sea (Mid-19th Century),19th,Painting,Europe,5841
48,Red design Lamp (1960s),20th,Design/Decorative Art,Europe,2772
49,Oriental Divinity (20th century),20th,Sculpture,Europe,1485
50,Transparent Blue Glass Flowers Vase (1970s),20th,Design/Decorative Art,Europe,485.1
51,Vintage Table Lamp (1970s),20th,Design/Decorative Art,Europe,841.5
52,Vintage Floor Lamp (1960s),20th,Design/Decorative Art,Europe,2277
53,Glass Pitcher (1970s),20th,Design/Decorative Art,Europe,186.12
54,Sphere Lamp (1970s),20th,Design/Decorative Art,Europe,1386
55,Vintage Wall Mirror  (1970s),20th,Design/Decorative Art,Europe,2475
56,Vintage Marble Lighter (1970s),20th,Design/Decorative Art,Europe,198
57,Pistillo Lamp (1970s),20th,Design/Decorative Art,Europe,990
58,Space Age Lamp (1970s),20th,Design/Decorative Art,Europe,1584
59,Vintage Red Floor Lamp (1960s),20th,Design/Decorative Art,Europe,2871
60,Ruby Vase  (1970s),20th,Design/Decorative Art,Europe,227.7
61,La Luce Chandelier (1970s),20th,Design/Decorative Art,Europe,990
62,Applause Plate  (1985),NA,Design/Decorative Art,Europe,495
